week,clinic_id,clinic_name,time_slot,patients_seen,total_wait_minutes,over_60_minutes
2026-W01,C001,Central Clinic,Morning,82,1804,3
2026-W01,C001,Central Clinic,Evening,64,1856,6
2026-W01,C002,Riverside Clinic,Morning,46,1104,3
2026-W01,C002,Riverside Clinic,Evening,34,1292,8
2026-W01,C003,Hillview Clinic,Morning,31,868,4
2026-W01,C003,Hillview Clinic,Evening,25,825,5
2026-W02,C001,Central Clinic,Morning,78,1794,4
2026-W02,C001,Central Clinic,Evening,66,1980,7
2026-W02,C002,Riverside Clinic,Morning,44,1100,3
2026-W02,C002,Riverside Clinic,Evening,35,1470,9
2026-W02,C003,Hillview Clinic,Morning,29,841,4
2026-W02,C003,Hillview Clinic,Evening,26,884,6
2026-W03,C001,Central Clinic,Morning,84,1848,4
2026-W03,C001,Central Clinic,Evening,63,1953,8
2026-W03,C002,Riverside Clinic,Morning,47,1128,4
2026-W03,C002,Riverside Clinic,Evening,36,1656,11
2026-W03,C003,Hillview Clinic,Morning,32,896,4
2026-W03,C003,Hillview Clinic,Evening,24,840,6
2026-W04,C001,Central Clinic,Morning,80,1920,5
2026-W04,C001,Central Clinic,Evening,67,2010,8
2026-W04,C002,Riverside Clinic,Morning,45,1170,4
2026-W04,C002,Riverside Clinic,Evening,35,1750,12
2026-W04,C003,Hillview Clinic,Morning,30,900,5
2026-W04,C003,Hillview Clinic,Evening,27,918,6
2026-W05,C001,Central Clinic,Morning,81,1863,4
2026-W05,C001,Central Clinic,Evening,65,2015,9
2026-W05,C002,Riverside Clinic,Morning,43,1075,3
2026-W05,C002,Riverside Clinic,Evening,34,1836,13
2026-W05,C003,Hillview Clinic,Morning,31,899,4
2026-W05,C003,Hillview Clinic,Evening,25,900,7
2026-W06,C001,Central Clinic,Morning,79,1817,4
2026-W06,C001,Central Clinic,Evening,66,2112,9
2026-W06,C002,Riverside Clinic,Morning,46,1196,4
2026-W06,C002,Riverside Clinic,Evening,36,2088,15
2026-W06,C003,Hillview Clinic,Morning,30,900,5
2026-W06,C003,Hillview Clinic,Evening,26,910,6
