date,route_id,route_name,district,scheduled_trips,completed_trips,passengers,delay_minutes
2026-06-01,R001,Riverside Line,South,12,11,440,88
2026-06-02,R001,Riverside Line, south ,12,11,440,88
2026-06-03,R001,Riverside Line,South,12,11,440,88
2026-06-04,R001,Riverside Line,South,12,11,,88
2026-06-05,R001,Riverside Line,SOUTH,12,11,440,88
2026-06-06,R001,Riverside Line,South,12,11,440,88
2026-06-01,R002,Market Loop,Central,10,9,720,54
2026-06-02,R002,Market Loop,Central,10,9,720,54
2026-06-03,R002,Market Loop, central ,10,9,720,54
2026-06-04,R002,Market Loop,Central,10,9,720,54
2026-06-05,R002,Market Loop,CENTRAL,10,9,720,54
2026-06-06,R002,Market Loop,Central,10,9,720,54
2026-06-01,R003,Hillside Connector,North,6,5,100,75
2026-06-02,R003,Hillside Connector,North,6,5,100,75
2026-06-03,R003,Hillside Connector,North,6,5,100,75
2026-06-04,R003,Hillside Connector,North,6,5,100,75
2026-06-05,R003,Hillside Connector,north,6,5,100,75
2026-06-06,R003,Hillside Connector,North,6,5,100,75
2026-06-01,R004,Clinic Express,East,14,14,350,42
2026-06-02,R004,Clinic Express,East,14,15,350,42
2026-06-03,R004,Clinic Express,East,14,14,350,42
2026-06-04,R004,Clinic Express,East,14,14,350,42
2026-06-05,R004,Clinic Express,East,14,14,350,42
2026-06-06,R004,Clinic Express,East,14,14,350,42
2026-06-01,R005,Industrial Shuttle,West,8,7,260,63
2026-06-02,R005,Industrial Shuttle,West,8,7,260,63
2026-06-03,R005,Industrial Shuttle,West,8,7,260,63
2026-06-04,R005,Industrial Shuttle,West,8,7,260,63
2026-06-05,R005,Industrial Shuttle,West,8,7,260,63
2026-06-06,R005,Industrial Shuttle,West,8,7,260,63
2026-06-03,R005,Industrial Shuttle,West,8,7,260,63
